Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_decision_tree_cross,jEdit,not,4.3,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.723336853220697,0.6974595842956121,0.7210957741445546,0.44575413594000846,0.7347931873479319,0.6637362637362637,0.7784552845528455,0.22154471544715448,0.7152585723251635,0.7188108249427353,0.6027028071701579,0.6492717147786171,383,109,153,302
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_decision_tree_cross,jEdit,not,4.3,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,1,{'classification__criterion': 'log_loss'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.4817073170731707,0.07272727272727272,0.6905121905121905,0.11296717284048746,0.03787878787878788,0.9090909090909091,0.47193347193347196,0.5280665280665281,0.6211077192168237,0.6550041442849267,0.6912485913405799,0.03646778203319223,227,254,1,10
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_random_forest_cross,jEdit,not,4.3,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 100},0.7753164556962026,0.7682263329706203,0.7753360230033658,0.5503519601842235,0.7607758620689655,0.7758241758241758,0.7748478701825557,0.22515212981744423,0.7753354926715823,0.7753358693324457,0.651220410180152,0.6978232428854428,382,111,102,353
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_random_forest_cross,jEdit,not,4.3,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 100},0.7584388185654009,0.7441340782122905,0.7574147961571898,0.5157443342585206,0.7568181818181818,0.7318681318681318,0.7829614604462475,0.21703853955375255,0.756073344671486,0.7569838448616584,0.6340456332046623,0.6825830920134717,386,107,122,333
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_random_forest_cross,jEdit,not,4.3,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'log2'; 'classification__n_estimators': 60},0.7679324894514767,0.7649572649572649,0.7686601431023338,0.5369469958548309,0.7442827442827443,0.7868131868131868,0.7505070993914807,0.24949290060851928,0.7679490090833465,0.7684457577462004,0.6431485420391883,0.6879321530246555,370,123,97,358
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_random_forest_cross,jEdit,not,4.3,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__criterion': 'log_loss'; 'classification__max_features': None; 'classification__n_estimators': 90},0.7521097046413502,0.7420417124039517,0.7517531150391191,0.5034647093904857,0.7412280701754386,0.7428571428571429,0.7606490872210954,0.23935091277890466,0.7515937717893464,0.7517004773511565,0.6269002379384028,0.6740442879350275,375,118,117,338
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_random_forest_cross,jEdit,not,4.3,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'log2'; 'classification__n_estimators': 90},0.778247096092925,0.7722342733188721,0.7784039131600107,0.5564351053288474,0.7623126338329764,0.7824175824175824,0.774390243902439,0.22560975609756098,0.7783675672567184,0.7783935652880928,0.654409514418694,0.7009874627090268,381,111,99,356
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_random_forest_cross,jEdit,not,4.3,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,1,{'classification__criterion': 'log_loss'; 'classification__max_features': 'log2'; 'classification__n_estimators': 90},0.3861788617886179,0.04430379746835443,0.5084105084105084,0.005123307264080431,0.022950819672131147,0.6363636363636364,0.3804573804573805,0.6195426195426196,0.49203126947202314,0.49204597560516855,0.7101130085019642,0.022735148364896464,183,298,4,7
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_svm_cross,jEdit,not,4.3,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6919831223628692,0.7044534412955465,0.6947908075697122,0.3923195576902513,0.6529080675422139,0.7648351648351648,0.6247464503042597,0.3752535496957404,0.6868564815796456,0.6912510790578504,0.5764566277289416,0.6122362477730944,308,185,107,348
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_svm_cross,jEdit,not,4.3,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6782700421940928,0.6779303062302007,0.679319260860843,0.35860894727516107,0.6524390243902439,0.7054945054945055,0.6531440162271805,0.34685598377281945,0.6782527701961241,0.6788147867753692,0.5633048256772876,0.6016423578479769,322,171,134,321
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_svm_cross,jEdit,not,4.3,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6867088607594937,0.6953846153846154,0.6889574928114481,0.3794020866989975,0.6519230769230769,0.7450549450549451,0.6328600405679513,0.3671399594320487,0.6839393010411581,0.6866698644565853,0.5711838620875671,0.608081381455286,312,181,116,339
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_svm_cross,jEdit,not,4.3,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6824894514767933,0.6950354609929078,0.685239506943361,0.37298407417343976,0.6447368421052632,0.7538461538461538,0.6166328600405679,0.38336713995943206,0.677849352028429,0.6817963844702727,0.5692792928274247,0.6041758485795794,304,189,112,343
