Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
ant,1.3,1.5,naive_bayes,mutation,0.3,{},0.8532423208191127,0.410958904109589,0.6845665708812261,0.33188382225182,0.3658536585365853,0.46875,0.9003831417624522,0.0996168582375478,0.6178023541771092,0.6496572925020926,0.8396132423385517
ant,1.3,1.5,decision_tree,mutation,0.3,{'classification__criterion': 'gini'; 'classification__max_depth': 6; 'classification__max_features': 'log2'},0.7849829351535836,0.3368421052631579,0.6599616858237549,0.2428885365836287,0.2539682539682539,0.5,0.8199233716475096,0.1800766283524904,0.6242157586601049,0.6402825046991014,0.7726607140520095
ant,1.3,1.5,random_forest,mutation,0.3,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 10},0.8430034129692833,0.3235294117647059,0.6239822796934865,0.2355955287934482,0.3055555555555556,0.34375,0.9042145593869731,0.0957854406130268,0.5310442914659042,0.5575156991415327,0.8328667909452118
ant,1.3,1.5,svm,mutation,0.3,{'classification__coef0': 3; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.89419795221843,0.4561403508771929,0.6801364942528737,0.4022439711177361,0.52,0.40625,0.9540229885057472,0.0459770114942528,0.5788984991204955,0.622552679763295,0.8850438515714962
ant,1.3,1.6,knn,mutation,0.3,{'classification__n_neighbors': 5},0.7869318181818182,0.5664739884393064,0.7047658862876254,0.4275048379888843,0.6049382716049383,0.532608695652174,0.8769230769230769,0.123076923076923,0.6582379772604591,0.6834155808783489,0.7327955277307797
ant,1.3,1.6,naive_bayes,mutation,0.3,{},0.7698863636363636,0.4489795918367347,0.6370401337792643,0.3316643464361083,0.6,0.358695652173913,0.9153846153846154,0.0846153846153846,0.5425991747633963,0.5730135090949874,0.7395455924117267
ant,1.3,1.6,decision_tree,mutation,0.3,{'classification__criterion': 'log_loss'; 'classification__max_depth': 6; 'classification__max_features': 'auto'},0.7017045454545454,0.1732283464566929,0.513628762541806,0.0400224208845225,0.3142857142857143,0.1195652173913043,0.9076923076923076,0.0923076923076923,0.3740263118603175,0.3294365312069162,0.7146086409657604
ant,1.3,1.6,random_forest,mutation,0.3,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 20},0.7528409090909091,0.1030927835051546,0.5271739130434783,0.201796219169038,1.0,0.0543478260869565,1.0,0.0,0.3313229351822866,0.2331262020600784,0.7849176031674885
ant,1.3,1.6,svm,mutation,0.3,{'classification__coef0': 3; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7755681818181818,0.4697986577181208,0.6479096989966555,0.3528245536210074,0.6140350877192983,0.3804347826086957,0.9153846153846154,0.0846153846153846,0.5578344077640462,0.5901221459640289,0.7423193046236268
ant,1.3,1.7,knn,mutation,0.3,{'classification__n_neighbors': 5},0.8013422818791947,0.509933774834437,0.6809777971991593,0.3899155172163029,0.5661764705882353,0.463855421686747,0.8981001727115717,0.1018998272884283,0.6141019670585848,0.6454367779496815,0.7650784280398983
